planning_area,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others,total_hdb
Ang Mo Kio,4978.5,25559.5,14134.25,6104.75,3984.75,4058.0,337.25,50777.0
Bedok,4239.75,22831.25,21016.5,13427.5,15557.5,11181.25,473.25,61765.25
Bishan,479.25,2297.25,9880.0,7538.5,3880.0,3009.25,65.0,20485.0
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,1049.25,10946.25,15677.75,8404.75,7370.75,1102.5,144.0,36078.25
Bukit Merah,10979.75,17052.5,13896.25,8615.0,3307.0,112.5,285.25,50546.0
Bukit Panjang,533.5,3181.25,14956.5,12680.25,4689.0,779.25,2.25,31351.75
Bukit Timah,36.75,459.0,875.75,1012.0,10388.25,8441.0,140.75,2525.5
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,0.0,79.33333333333333,0.0,2.0,189.0,57.333333333333336,25.0,81.33333333333333
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,1050.0,1694.0,21535.25,19262.25,4195.0,533.5,28.5,43541.5
Clementi,1045.25,11946.25,8350.0,3297.25,4317.75,1449.5,194.75,24639.0
Downtown Core,55.666666666666664,431.3333333333333,293.0,10.0,652.3333333333334,0.0,25.0,790.0
Geylang,4307.75,11684.75,9673.0,4525.0,5903.0,1835.5,424.75,30371.0
Hougang,1450.5,10026.0,25507.0,14885.25,6079.5,5541.0,198.5,52303.0
Jurong East,564.5,7055.75,8025.5,8034.5,2163.25,0.0,103.5,23706.5
Jurong West,2101.75,12162.25,29456.5,26595.0,3689.5,760.25,58.5,70316.25
Kallang,6190.25,10699.5,7680.5,4117.75,5851.0,513.25,402.25,28688.0
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,0.0,0.0,0.0,0.0,133.5,101.5,9.0,0.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,1364.5,2980.0,1787.0,1658.25,4969.25,2323.0,137.25,7850.5
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,1.6666666666666667,0.0,0.0,0.0,1173.6666666666667,118.66666666666667,2.3333333333333335,1.6666666666666667
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,759.25,3080.5,2275.25,1326.75,5821.0,1999.75,99.0,7472.75
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,3080.75,2546.0,1210.25,410.25,687.25,0.0,49.5,7234.5
Pasir Ris,369.5,114.0,11609.25,17223.25,6928.5,1542.75,26.25,29317.5
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,2054.6666666666665,2434.6666666666665,14297.0,14158.333333333334,2820.3333333333335,37.666666666666664,0.0,32944.666666666664
Queenstown,3722.25,15060.75,7120.5,3832.25,3845.25,855.75,120.75,29735.75
River Valley,0.0,0.0,0.0,0.0,2905.3333333333335,237.66666666666666,7.0,0.0
Rochor,316.3333333333333,1377.6666666666667,963.3333333333334,98.33333333333333,433.0,50.666666666666664,169.0,2755.6666666666665
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,1004.0,521.0,8072.25,9289.75,1274.25,805.25,13.75,18912.25
Sengkang,1473.0,1667.75,21150.75,22344.5,4357.25,361.75,2.25,46636.25
Serangoon,310.0,4655.25,10738.5,6535.5,4690.5,9354.75,153.75,22363.0
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,0.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,1607.5,13355.25,29518.0,23059.0,6955.0,931.75,153.5,67702.25
Tanglin,0.0,16.0,54.5,83.75,5013.0,877.25,29.25,179.5
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,4783.5,16190.5,9653.25,6508.0,2690.0,1578.0,364.25,37898.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,2711.25,6361.25,29288.5,26368.25,3069.5,113.75,37.5,64729.25
Yishun,1655.25,14297.25,28006.75,11763.0,3272.25,1032.0,181.75,55697.25
