planning_area,total,below_sgd_1000,sgd_10000_to_10999,sgd_11000_to_11999,sgd_12000_over,sgd_1000_to_1499,sgd_1000_to_1999,sgd_2000_to_2499,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,sgd_1000_to_1999,sgd_2000_to_2999,sgd_12000_14999,sgd_15000_over
Ang Mo Kio,91126.75,9787.0,1309.25,901.25,2150.0,8757.25,3591.75,6900.75,5480.0,11506.25,7955.25,6081.75,2084.0,3918.5,2753.75,2741.75,1623.0,1199.5,3591.75,2603.5,809.25,1577.25
Bedok,140649.25,13395.75,2200.25,1691.75,4850.0,10683.25,4924.25,9504.5,7733.25,17361.0,11728.5,9823.5,4401.5,6109.0,4041.75,6296.75,2771.25,2210.5,4924.25,4432.5,1882.0,4181.5
Bishan,46565.0,3502.75,908.75,781.25,1900.0,2557.0,1178.25,2684.5,2350.5,5487.5,4537.25,3710.75,2118.0,2225.0,1964.0,2496.75,1448.0,922.5,1178.25,908.75,813.25,1614.5
Boon Lay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Batok,75229.5,6189.0,1284.0,911.25,1850.0,5310.25,3015.0,5184.75,4114.75,9867.0,7267.75,5686.0,1756.75,3555.75,2830.0,3012.5,1660.25,1405.25,3015.0,2829.0,1072.0,1522.0
Bukit Merah,77414.0,9131.75,1251.5,954.5,2000.0,7134.75,2985.75,5610.5,4120.0,8934.5,6481.5,5198.0,1417.25,3309.5,2871.0,2308.0,1638.0,1225.5,2985.75,2030.75,1101.0,1880.5
Bukit Panjang,67027.75,5504.75,1021.25,726.25,1525.0,4690.75,2605.0,4735.75,4187.25,9446.0,6680.5,5305.75,1112.25,3333.5,2561.0,1901.25,1711.5,1249.5,2605.0,2380.0,748.5,1085.0
Bukit Timah,33570.0,1782.75,1000.75,608.5,3425.0,836.25,494.75,1025.25,784.5,2440.0,2239.25,2441.75,3405.75,1223.25,1364.5,3990.25,819.25,714.75,494.75,415.0,665.25,3156.5
Central Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Changi,541.3333333333334,64.0,0.0,0.0,0.0,48.0,0.0,35.666666666666664,34.666666666666664,75.66666666666667,119.33333333333333,57.0,12.0,19.0,10.0,27.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,90334.25,7118.0,1363.75,979.5,1625.0,5450.25,3406.75,6317.0,5397.0,13685.25,9866.0,7367.75,1385.75,4632.75,3747.75,2528.0,2526.0,1596.75,3406.75,3586.0,950.5,1191.5
Clementi,45906.0,4070.25,906.25,605.5,1525.0,3108.25,1389.5,2957.0,2637.25,5337.75,4155.75,3335.25,1563.25,2200.0,1919.75,2004.25,998.25,959.5,1389.5,1175.5,788.25,1441.0
Downtown Core,2028.0,212.33333333333334,25.666666666666668,20.666666666666668,0.0,163.0,20.333333333333332,119.0,128.0,218.0,160.33333333333334,101.66666666666667,52.333333333333336,74.0,49.0,131.66666666666666,32.0,29.333333333333332,20.333333333333332,44.333333333333336,58.0,235.66666666666666
Geylang,59072.0,6634.75,863.25,601.75,1225.0,5232.0,2434.5,4436.0,3417.25,7805.5,5113.5,3787.25,1129.25,2383.5,1722.5,1605.5,1147.75,1001.75,2434.5,2015.0,709.0,1163.25
Hougang,113156.5,10598.0,1694.25,1193.25,2300.0,8698.75,4632.75,8583.25,6571.75,15826.75,10575.25,8391.5,2366.75,5131.25,3645.5,3156.5,2437.25,1722.75,4632.75,3969.25,1349.0,1975.5
Jurong East,43943.5,4110.0,581.25,335.75,850.0,3475.25,1606.0,3541.5,3090.25,6018.5,4420.5,3153.75,964.0,1903.5,1556.75,1209.5,852.75,593.5,1606.0,1398.25,366.25,504.5
Jurong West,135310.25,12052.75,1607.0,1030.75,1925.0,10057.75,5134.75,10506.25,8803.5,20488.5,14954.0,10533.25,1314.5,6381.5,5238.5,2557.75,2952.5,2140.75,5134.75,5099.5,1154.25,1331.5
Kallang,50711.75,5647.5,860.25,528.25,1650.0,4437.5,2085.25,3659.25,2668.0,6079.25,4207.25,3127.0,929.75,2182.0,1599.0,1726.5,942.25,929.0,2085.25,1565.5,707.0,1370.75
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,400.5,34.5,0.0,0.0,0.0,26.5,0.0,12.5,12.5,53.0,19.5,32.0,0.0,25.5,60.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,20977.5,1638.0,419.0,307.0,1200.0,1052.75,466.75,1044.75,893.75,2296.75,1700.25,1507.5,1241.5,875.0,677.0,1646.75,455.75,390.25,466.75,467.0,368.25,1312.5
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,1697.0,75.0,0.0,0.0,0.0,46.333333333333336,0.0,102.33333333333333,48.666666666666664,182.33333333333334,123.33333333333333,105.66666666666667,405.3333333333333,49.333333333333336,29.666666666666668,479.0,0.0,0.0,0.0,0.0,0.0,0.0
